Index,ISLANDNAME,PLOT,Easting,Northing,OCODES,BRCR,URB_100Z,RUR_100Z,FOR0_100Z,FOR1_100Z,FOR2_100Z,SAV_100Z,SHR_100Z,CR_CL_2Z,CR_CL_3Z,Is_sizeZ,rd_up_100Z,rd_p_100Z
195,Moresby,MOR21,475947,5396886,b,0,-0.180973645,2.74972658,-0.244224744,-0.6931887,-0.635999983,-0.46421402,-0.202047601,-1.101451971,-0.861400343,-0.384889109,1.847582521,-0.342724967
196,Moresby,MOR22,476134,5396952,b,0,-0.180973645,3.10814562,-0.244224744,-1.013014826,-0.328043407,-0.46421402,-0.202047601,-1.527173424,-0.861400343,-0.384889109,-0.56544841,-0.342724967
197,Moresby,MOR23,476371,5396888,b,0,-0.180973645,3.089900188,-0.244224744,-1.013014826,-0.312499337,-0.46421402,-0.202047601,-1.191326886,-0.861400343,-0.384889109,0.643378872,-0.342724967
198,Moresby,MOR24,476538,5396680,b,0,-0.180973645,0.473438667,-0.244224744,-0.005515056,0.334952939,-0.46421402,1.010322969,-0.040549058,-0.861400343,-0.384889109,1.71004867,-0.342724967
199,Moresby,MOR25,476544,5396543,b,0,-0.180973645,0.616109845,-0.244224744,0.407953982,-0.635999983,-0.46421402,2.36942835,0.382697271,-0.861400343,-0.384889109,0.462143974,-0.342724967
200,Moresby,MOR26,476581,5396375,b,0,-0.180973645,0.304678381,-0.244224744,0.68637365,-0.635999983,0.419117335,-0.202047601,1.444966331,-0.525426987,-0.384889109,-0.56544841,-0.342724967
201,Moresby,MOR27,476729,5396607,b,0,-0.180973645,-0.411743949,-0.244224744,0.703732582,-0.635999983,-0.46421402,4.488560378,1.330974956,-0.599232183,-0.384889109,-0.56544841,-0.342724967
202,Moresby,MOR28,476393,5396399,b,0,-0.180973645,3.191029471,-0.244224744,-0.985529907,-0.433986839,-0.46421402,-0.202047601,-1.404472995,-0.861400343,-0.384889109,-0.56544841,-0.342724967
203,Moresby,MOR29,476296,5396553,b,0,-0.180973645,2.463684413,-0.244224744,-1.013014826,0.22064668,-0.46421402,-0.202047601,-0.997404498,-0.861400343,-0.384889109,-0.56544841,-0.342724967
204,Moresby,MOR30,476232,5396685,b,0,-0.180973645,1.885819499,-0.244224744,-0.291446501,-0.635999983,-0.053045146,0.58585007,-0.671475821,-0.861400343,-0.384889109,-0.56544841,-0.342724967
205,Musclow Islet,MUS01,470749,5392397,d,0,-0.180973645,-0.413305792,-0.244224744,-1.013014826,-0.635999983,-0.46421402,-0.202047601,-1.391535287,-0.861400343,-0.404844834,-0.56544841,-0.342724967
206,Pender North,PEN01,479717,5401509,b,1,-0.180973645,-0.413305792,-0.244224744,1.554254883,-0.635999983,-0.46421402,-0.202047601,1.400860064,0.38741417,-0.315754795,-0.56544841,-0.342724967
207,Pender North,PEN02,479558,5401396,b,0,-0.180973645,-0.413305792,0.296757932,1.335518772,-0.573032739,-0.46421402,-0.202047601,1.277240551,0.15364794,-0.315754795,-0.56544841,-0.342724967
208,Pender North,PEN03,478580,5404387,b,0,-0.081868781,0.669898895,-0.244224744,0.25344885,-0.635999983,-0.46421402,2.811817719,-0.114538034,0.383050769,-0.315754795,-0.56544841,1.674543398
209,Pender North,PEN04,477333,5403685,b,0,-0.180973645,-0.413305792,-0.244224744,1.273015002,-0.635999983,0.167633392,-0.202047601,1.527327978,0.055895238,-0.315754795,2.605538565,-0.342724967
210,Pender North,PEN05,477433,5403532,b,0,-0.180973645,-0.413305792,-0.244224744,1.398348543,-0.635999983,-0.113960227,-0.202047601,1.379104792,0.444442742,-0.315754795,1.812643715,-0.342724967
211,Pender North,PEN06,477628,5403352,b,0,-0.180973645,-0.413305792,-0.244224744,0.217142759,-0.635999983,-0.46421402,7.181319516,-0.206712286,-0.367573697,-0.315754795,0.04551075,-0.342724967
212,Pender North,PEN07,477500,5403336,b,0,-0.180973645,-0.413305792,-0.244224744,1.01968968,-0.635999983,0.543385001,0.27325109,1.315952761,0.195251007,-0.315754795,0.804632931,-0.342724967
213,Pender North,PEN08,477395,5404601,b,0,-0.180973645,0.897980858,-0.244224744,0.080270884,-0.498282163,-0.46421402,-0.202047601,-0.705107568,1.226299376,-0.315754795,1.483637661,-0.342724967
214,Pender North,PEN09,477176,5404695,b,0,-0.180973645,-0.40441062,-0.244224744,-1.013014826,0.42499968,-0.46421402,-0.202047601,-0.41603557,-0.683621613,-0.315754795,-0.56544841,-0.342724967
215,Pender North,PEN10,479220,5404571,b,0,-0.180973645,2.275189701,-0.244224744,-0.223234931,-0.635999983,-0.46421402,-0.202047601,-1.212164159,-0.861400343,-0.315754795,-0.56544841,0.397642762
