clusplot,b1mn,b2mn,b3mn,b4mn,b5mn,b7mn,srmn,ndvimn,tvimn,brightmn,greenmn,wetmn,varimn,vc1mn,vc2mn,X_coordmn,Y_coordmn,tvolha
18,0.187596856,0.145187572,0.094114226,0.612411732,0.237552481,0.109247631,0.154550795,0.732462954,111.0133832,0.601052773,0.307052783,0.098682658,1.007005103,-0.439981108,-0.695834509,529362.5,5458300,178.2578814
19,0.197080907,0.160112801,0.118489316,0.509895699,0.187305253,0.098585418,0.232200653,0.623421216,105.9862927,0.538047591,0.211842173,0.111632076,0.535309696,-0.463144366,-0.67668796,530125,5457537.5,261.9044126
20,0.168628754,0.121733641,0.081475291,0.406253117,0.145925183,0.067783469,0.200685944,0.665746369,107.9692078,0.421086518,0.175537568,0.091856963,1.178321441,-0.473796342,-0.714268954,531600,5465187.5,102.6814984
21,0.156736056,0.110768166,0.075929635,0.279918603,0.104122868,0.048659182,0.277399323,0.567149495,103.276734,0.320070468,0.093081758,0.077425455,1.405671117,-0.46041557,-0.70275462,532342.8571,5467475,557.2902032
22,0.156284434,0.108026798,0.06432245,0.21136,0.083855079,0.034442898,0.305704821,0.532109112,101.5860126,0.264083682,0.051545219,0.068276221,2.854644725,-0.432806823,-0.722649509,531592.8571,5466700,838.2989631
23,0.174424563,0.151584099,0.103142037,0.524540847,0.242724989,0.116355773,0.196680591,0.671304293,108.2265727,0.557736073,0.240039218,0.064874863,0.604594285,-0.368090195,-0.636888835,532354.1667,5466720.833,126.4539133
24,0.165467404,0.12706408,0.085086415,0.441176161,0.162920569,0.07015285,0.193134145,0.676331717,108.4576088,0.450623185,0.199325358,0.093852046,0.906229814,-0.461031231,-0.725215357,533150,5465212.5,481.6851289
25,0.169833078,0.118992272,0.083667759,0.343649135,0.125024026,0.048659182,0.244993174,0.606856557,105.1999602,0.374410698,0.131010683,0.092001424,1.086569976,-0.465760918,-0.757081033,533150,5464442.857,580.4456043
26,0.174424563,0.145187572,0.094114226,0.50651605,0.203561709,0.096216037,0.186025355,0.686442998,108.9217045,0.520949943,0.233834995,0.087379065,0.79745705,-0.426917057,-0.681496697,530850,5464412.5,172.5934317
27,0.17337078,0.135592782,0.095017007,0.422024814,0.180654885,0.089107895,0.225077828,0.632603407,106.4229277,0.460261875,0.174192353,0.074344332,0.718250707,-0.402218058,-0.652244038,529362.5,5462875,470.2658659
28,0.157639299,0.116250903,0.071286761,0.298265271,0.118690341,0.047643733,0.239583627,0.613718068,105.5281618,0.335975937,0.108683972,0.074588406,1.543729729,-0.431483816,-0.724312415,530842.8571,5465175,989.8826255
